joint_number,joint_length,
1,0.384,
2,0.702,
3,0.292,
4,0.288,
5,0.592,
6,0.254,
7,4.436,
8,0.19,
9,4.466,
10,0.992,
11,6.902,
12,14.54,
13,18.272,
14,18.97,
15,18.734,
16,9.978,
17,6.762,
18,18.854,
19,18.804,
20,18.724,
21,18.9,
22,18.688,
23,18.73,
24,18.946,
25,18.88,
26,16.936,
27,6.77,
28,8.016,
29,6.816,
30,19.626,
31,18.32,
32,17.726,
33,19.71,
34,19.758,
35,19.688,
36,17.74,
37,19.726,
38,19.602,
39,19.74,
40,19.55,
41,19.694,
42,19.718,
43,18.214,
44,19.726,
45,19.682,
46,19.734,
47,19.682,
48,19.32,
49,19.344,
50,19.586,
51,19.688,
52,19.696,
53,19.706,
54,19.534,
55,19.702,
56,19.558,
57,19.642,
58,19.634,
59,19.674,
60,19.63,
61,19.638,
62,19.648,
63,19.114,
64,19.41,
65,19.472,
66,18.666,
67,19.596,
68,19.476,
69,19.626,
70,19.63,
71,19.668,
72,6.718,
73,19.258,
74,19.428,
75,19.492,
76,15.42,
77,19.016,
78,18.61,
79,19.568,
80,19.51,
81,19.496,
82,19.458,
83,19.42,
84,19.574,
85,18.694,
86,19.414,
87,19.674,
88,19.666,
89,19.676,
90,19.67,
91,19.628,
92,12.498,
93,12.804,
94,12.32,
95,12.116,
96,11.752,
97,12.94,
98,11.068,
99,10.874,
100,19.656,
101,19.51,
102,11.108,
103,19.004,
104,19.53,
105,19.56,
106,19.532,
107,14.848,
108,15.12,
109,13.276,
110,19.704,
111,19.456,
112,19.388,
113,13.456,
114,19.554,
115,14.436,
116,19.594,
117,19.514,
118,19.398,
119,18.982,
120,19.426,
121,13.422,
122,19.392,
123,19.582,
124,19.454,
125,19.424,
126,19.426,
127,19.59,
128,19.446,
129,19.488,
130,19.324,
131,19.43,
132,19.658,
133,18.91,
134,18.252,
135,2.13,
136,18.564,
137,19.502,
138,19.476,
139,16.536,
140,18.022,
141,19.62,
142,19.626,
143,19.548,
144,19.584,
145,19.62,
146,18.096,
147,19.64,
148,19.588,
149,19.654,
150,19.606,
151,19.618,
152,19.622,
153,19.538,
154,19.508,
155,19.526,
156,19.602,
157,19.512,
158,19.502,
159,19.594,
160,19.608,
161,19.456,
162,15.722,
163,14.782,
164,14.594,
165,12.724,
166,13.664,
167,16.676,
168,15.412,
169,15.242,
170,16.464,
171,14.666,
172,19.694,
173,19.556,
174,19.632,
175,19.514,
176,19.628,
177,19.59,
178,19.678,
179,19.562,
180,19.648,
181,18.736,
182,19.688,
183,19.62,
184,19.542,
185,19.482,
186,19.442,
187,19.5,
188,17.638,
189,19.574,
190,17.35,
191,12.438,
192,17.28,
193,19.518,
194,19.466,
195,19.42,
196,19.538,
197,19.334,
198,19.506,
199,19.192,
200,11.84,
201,8.742,
202,7.682,
203,19.586,
204,19.02,
205,19.712,
206,19.672,
207,19.64,
208,19.702,
209,19.698,
210,15.766,
211,18.096,
212,19.67,
213,19.666,
214,19.688,
215,19.664,
216,19.654,
217,16.126,
218,12.608,
219,19.594,
220,19.602,
221,19.522,
222,18.538,
223,19.578,
224,18.684,
225,19.624,
226,7.558,
227,17.87,
228,16.17,
229,8.624,
230,19.198,
231,19.73,
232,19.678,
233,19.68,
234,19.724,
235,18.566,
236,19.662,
237,19.67,
238,17.398,
239,19.668,
240,19.664,
241,19.626,
242,19.65,
243,19.64,
244,19.652,
245,19.654,
246,19.708,
247,19.486,
248,3.93,
249,19.656,
250,18.518,
251,19.654,
252,19.648,
253,19.66,
254,19.624,
255,0.91,
256,4.176,
257,4.122,
258,0.404,
259,0.246,
260,0.772,
261,0.278,
262,0.802,
263,1.396,
264,2.994,
265,3.34,
266,0.82,
267,0.276,
268,0.748,
269,0.25,
270,0.594,
271,4.07,
272,4.082,
273,0.992,
274,12.488,
275,19.644,
276,19.622,
277,19.62,
278,19.63,
279,19.616,
280,19.638,
281,19.648,
282,19.742,
283,19.6,
284,19.63,
285,19.762,
286,19.754,
287,19.782,
288,19.528,
289,19.632,
290,19.712,
291,16.51,
292,19.77,
293,19.606,
294,19.734,
295,19.754,
296,19.158,
297,19.734,
298,19.596,
299,19.64,
300,19.64,
301,19.65,
302,19.62,
303,19.612,
304,19.618,
305,19.73,
306,19.536,
307,19.552,
308,19.644,
309,19.694,
310,19.556,
311,19.632,
312,19.756,
313,19.754,
314,19.754,
315,19.628,
316,19.744,
317,19.748,
318,19.772,
319,19.742,
320,19.636,
321,19.778,
322,19.616,
323,19.754,
324,19.756,
325,19.59,
326,19.622,
327,19.734,
328,19.63,
329,19.76,
330,19.602,
331,19.736,
332,19.634,
333,19.714,
334,19.604,
335,19.646,
336,19.722,
337,19.604,
338,19.746,
339,19.652,
340,19.232,
341,19.758,
342,17.092,
343,16.57,
344,17.106,
345,17.09,
346,17.092,
347,8.92,
348,10.2,
349,11.02,
350,2.148,
351,19.332,
352,15.624,
353,19.644,
354,1.526,
355,17.746,
356,19.644,
357,19.568,
358,18.004,
359,19.738,
360,19.706,
361,19.734,
362,19.548,
363,19.666,
364,19.73,
365,19.622,
366,3.202,
367,18.998,
368,19.504,
369,19.346,
370,19.548,
371,19.714,
372,19.63,
373,9.554,
374,19.686,
375,19.672,
376,19.362,
377,19.724,
378,19.63,
379,19.642,
380,19.608,
381,19.566,
382,19.452,
383,19.482,
384,19.514,
385,19.56,
386,19.736,
387,19.534,
388,17.988,
389,18.078,
390,19.804,
391,17.954,
392,19.294,
393,19.548,
394,19.558,
395,19.642,
396,19.538,
397,19.374,
398,19.394,
399,19.522,
400,19.514,
401,19.61,
402,19.53,
403,19.522,
404,19.51,
405,19.548,
406,19.46,
407,19.486,
408,16.16,
409,19.166,
410,19.414,
411,19.29,
412,19.344,
413,19.164,
414,19.324,
415,19.334,
416,19.404,
417,19.414,
418,19.438,
419,19.394,
420,19.426,
421,19.508,
422,19.464,
423,19.342,
424,13.19,
425,11.726,
426,12.428,
427,12.542,
428,13.402,
429,15.528,
430,16.308,
431,11.01,
432,11.542,
433,8.472,
434,8.966,
435,8.712,
436,8.806,
437,8.08,
438,10.948,
439,8.944,
440,9.532,
441,7.944,
442,13.258,
443,13.258,
444,19.414,
445,19.354,
446,19.472,
447,19.398,
448,19.428,
449,19.418,
450,19.454,
451,19.452,
452,19.434,
453,19.462,
454,19.42,
455,19.412,
456,19.36,
457,19.396,
458,19.378,
459,19.19,
460,19.376,
461,19.436,
462,19.346,
463,19.222,
464,19.382,
465,19.38,
466,19.354,
467,19.156,
468,19.29,
469,19.408,
470,19.38,
471,19.364,
472,19.382,
473,19.318,
474,19.238,
475,17.02,
476,19.31,
477,19.242,
478,19.328,
479,19.374,
480,19.344,
481,19.424,
482,19.2,
483,17.476,
484,19.476,
485,19.506,
486,19.4,
487,19.504,
488,19.522,
489,18.104,
490,18.606,
491,19.044,
492,19.57,
493,19.44,
494,19.316,
495,19.47,
496,19.46,
497,19.468,
498,19.438,
499,19.576,
500,19.53,
501,19.516,
502,19.478,
503,19.398,
504,13.664,
505,14.538,
506,15.736,
507,10.532,
508,11.244,
509,12.588,
510,13.276,
511,13.014,
512,17.172,
513,19.048,
514,19.658,
515,19.552,
516,10.892,
517,12.206,
518,12.148,
519,13.106,
520,19.554,
521,19.494,
522,13.876,
523,5.04,
524,0.978,5.026
525,4.048,
526,4.154,
527,0.798,
528,0.25,
529,0.784,
530,0.28,
531,0.774,
532,0,
